epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1589.5,0.96288,0.4617,0.14903,0.65484,1.05683,0.94975,0.81951,0.89684,0.72459,0.98381,0.88953,0.94604,0.91307,0.82756,0.40465,0.06018,0.51123,0.97868,0.00175448,0.00175448,0.00175448
64,1604.97,0.9349,0.41488,0.13789,0.62319,1.04373,0.96505,0.80808,0.89609,0.72715,0.98354,0.87458,0.94601,0.90772,0.82376,0.42618,0.04906,0.51045,0.95604,0.00175052,0.00175052,0.00175052
65,1619.85,0.92316,0.41279,0.14673,0.63128,1.04751,0.94025,0.84442,0.90576,0.6809,0.96775,0.86829,0.94686,0.90835,1.00056,0.42881,0.04817,0.52527,1.01679,0.00174656,0.00174656,0.00174656
66,1634.76,0.91674,0.38306,0.14862,0.6012,1.03754,0.94999,0.8439,0.89782,0.70447,0.94848,0.89268,0.94618,0.91019,0.89869,0.41497,0.05633,0.53643,0.98376,0.0017426,0.0017426,0.0017426
67,1650.01,0.91958,0.42043,0.1424,0.62887,1.04212,0.96692,0.85558,0.90978,0.67065,0.9835,0.87232,0.94385,0.90389,1.02063,0.4267,0.05432,0.52185,1.02244,0.00173864,0.00173864,0.00173864
68,1664.94,0.92456,0.42328,0.13577,0.63084,1.03858,0.95523,0.83902,0.89994,0.71207,0.98346,0.8699,0.95122,0.89791,0.87616,0.47148,0.05257,0.53144,0.98487,0.00173468,0.00173468,0.00173468
69,1679.97,0.92055,0.3874,0.13531,0.6155,1.02471,0.99203,0.81951,0.89591,0.68403,0.97779,0.85894,0.94562,0.90914,0.99747,0.43054,0.04903,0.48633,1.00471,0.00173072,0.00173072,0.00173072
70,1695.11,0.92343,0.39031,0.13612,0.61936,1.03305,0.96927,0.84878,0.90583,0.7322,0.97799,0.867,0.94289,0.9073,0.83125,0.45086,0.04937,0.49514,0.95686,0.00172676,0.00172676,0.00172676
71,1710.53,0.94433,0.40053,0.13348,0.63288,1.04425,0.9563,0.8539,0.90669,0.70901,0.98364,0.88008,0.94855,0.90804,0.90837,0.46386,0.04993,0.50644,0.97094,0.0017228,0.0017228,0.0017228
72,1725.37,0.9152,0.40018,0.13211,0.623,1.02849,0.97743,0.84513,0.91289,0.70102,0.97106,0.89756,0.94954,0.92195,0.92753,0.39158,0.04883,0.50627,0.97413,0.00171884,0.00171884,0.00171884
73,1740.53,0.90949,0.40549,0.13591,0.60453,1.02775,0.95668,0.85854,0.90605,0.73602,0.98692,0.8878,0.94551,0.91114,0.80273,0.40142,0.05392,0.4805,0.93001,0.00171488,0.00171488,0.00171488
74,1756.05,0.88826,0.35837,0.12288,0.59894,1.01987,0.93877,0.82266,0.89463,0.71573,0.95786,0.88713,0.94102,0.90951,0.83036,0.40306,0.0484,0.51993,0.95405,0.00171092,0.00171092,0.00171092
75,1770.81,0.90499,0.38623,0.1311,0.59313,1.02089,0.96829,0.8439,0.90815,0.71057,0.94872,0.90253,0.94965,0.91886,0.86631,0.35338,0.04814,0.49905,0.95204,0.00170696,0.00170696,0.00170696
76,1785.41,0.90926,0.37681,0.13672,0.62943,1.03019,0.96479,0.85854,0.90972,0.71828,0.98151,0.89268,0.95583,0.92102,0.86027,0.38164,0.05414,0.5054,0.94611,0.001703,0.001703,0.001703
77,1800.27,0.92168,0.37582,0.13313,0.61675,1.02878,0.96646,0.83902,0.90418,0.72815,0.95994,0.8878,0.9468,0.91546,0.80313,0.3851,0.04997,0.51384,0.93759,0.00169904,0.00169904,0.00169904
78,1815.18,0.90878,0.37351,0.13023,0.61471,1.03488,0.98716,0.81951,0.9046,0.70707,0.93867,0.88293,0.93896,0.90557,0.87842,0.41018,0.04891,0.51436,0.95539,0.00169508,0.00169508,0.00169508
79,1829.71,0.90781,0.36699,0.12938,0.60548,1.02902,0.9396,0.87805,0.90999,0.72017,0.96322,0.93659,0.95539,0.91774,0.89001,0.3911,0.05203,0.50051,0.97626,0.00169112,0.00169112,0.00169112
80,1844.78,0.86138,0.36618,0.12841,0.58666,1.01273,0.96147,0.85213,0.90933,0.72031,0.98369,0.88247,0.95189,0.92151,0.85405,0.37112,0.04579,0.4854,0.95575,0.00168716,0.00168716,0.00168716
81,1859.57,0.88758,0.36166,0.12473,0.59536,1.0224,0.9911,0.81463,0.90994,0.71848,0.94326,0.91707,0.94608,0.91891,0.84345,0.36215,0.06155,0.47565,0.97232,0.0016832,0.0016832,0.0016832
82,1874.22,0.88824,0.36335,0.12923,0.60398,1.02447,0.97247,0.8439,0.90676,0.71107,0.98367,0.88162,0.94824,0.91458,0.86138,0.3913,0.05387,0.49088,0.96892,0.00167924,0.00167924,0.00167924
83,1889,0.91129,0.34854,0.12029,0.59877,1.02946,0.97736,0.84241,0.90373,0.68554,0.98932,0.9038,0.95243,0.91594,0.98569,0.38659,0.03539,0.49826,1.00885,0.00167528,0.00167528,0.00167528
84,1903.89,0.90594,0.39307,0.1242,0.61869,1.03258,0.97126,0.82413,0.8962,0.7104,0.98869,0.85318,0.9434,0.9034,0.88746,0.44471,0.04792,0.52195,0.96595,0.00167132,0.00167132,0.00167132
85,1919.25,0.9275,0.39029,0.1192,0.61741,1.04201,0.95515,0.81463,0.89744,0.70596,0.94523,0.92683,0.9484,0.91238,0.93124,0.41328,0.04115,0.52869,0.98895,0.00166736,0.00166736,0.00166736
86,1934.24,0.87748,0.37402,0.11389,0.6022,1.01626,0.97738,0.84316,0.91659,0.70685,0.9631,0.92683,0.95673,0.92275,0.88913,0.40429,0.04372,0.49926,0.96304,0.0016634,0.0016634,0.0016634
87,1949.1,0.91018,0.37952,0.12393,0.59983,1.01537,0.98682,0.85854,0.91739,0.70298,0.97349,0.89559,0.95015,0.92014,0.9544,0.36629,0.06548,0.50694,0.97378,0.00165944,0.00165944,0.00165944
88,1963.63,0.91465,0.37088,0.11974,0.59983,1.02386,0.97185,0.82927,0.89115,0.71152,0.9685,0.89991,0.94947,0.91688,0.86072,0.38628,0.03699,0.50074,0.9539,0.00165548,0.00165548,0.00165548
89,1978.36,0.88101,0.34915,0.11387,0.59121,1.02352,0.99456,0.80976,0.89918,0.70592,0.98725,0.89756,0.94481,0.91323,0.93745,0.36622,0.05268,0.51495,0.98412,0.00165152,0.00165152,0.00165152
90,1993.32,0.89473,0.36833,0.11875,0.59392,1.02715,0.97194,0.8449,0.90521,0.731,0.97846,0.88653,0.95315,0.92449,0.81578,0.32042,0.04354,0.4744,0.94003,0.00164756,0.00164756,0.00164756
91,2008.78,0.89019,0.34817,0.11678,0.58976,1.02095,0.95536,0.83902,0.90045,0.71066,0.94956,0.91707,0.94859,0.92715,0.89386,0.34936,0.03743,0.48964,0.96345,0.0016436,0.0016436,0.0016436
92,2023.73,0.86568,0.35537,0.116,0.58594,1.01644,0.9447,0.82439,0.89643,0.7044,0.97679,0.90244,0.94696,0.91378,0.89752,0.37939,0.03415,0.51027,0.97351,0.00163964,0.00163964,0.00163964
93,2038.34,0.8848,0.32698,0.11954,0.59734,1.01009,0.95116,0.84878,0.90807,0.70725,0.9496,0.91905,0.95317,0.91986,0.93018,0.38414,0.03934,0.49109,0.96548,0.00163568,0.00163568,0.00163568
94,2052.97,0.89497,0.3399,0.11622,0.60113,1.02111,0.97249,0.81463,0.89955,0.70114,0.95344,0.89898,0.94858,0.91233,0.94901,0.38721,0.03449,0.55622,0.98508,0.00163172,0.00163172,0.00163172
95,2067.92,0.88578,0.34341,0.10884,0.5998,1.01749,0.91896,0.83902,0.8832,0.69815,0.96878,0.8878,0.94179,0.9095,0.90264,0.3564,0.03415,0.5458,0.98059,0.00162776,0.00162776,0.00162776
96,2082.63,0.89753,0.35532,0.10913,0.58629,1.01665,0.96696,0.8439,0.91042,0.72783,0.95665,0.89756,0.95017,0.92163,0.83831,0.37244,0.04271,0.50322,0.95295,0.0016238,0.0016238,0.0016238
97,2097.53,0.86468,0.34027,0.118,0.57294,1.01606,0.96735,0.86724,0.91638,0.70267,0.99456,0.89232,0.95625,0.91943,0.94719,0.35753,0.03764,0.46816,0.99254,0.00161984,0.00161984,0.00161984
98,2112.36,0.8619,0.32928,0.11235,0.57118,1.00813,0.9569,0.86652,0.91687,0.73037,0.97849,0.88743,0.95354,0.92231,0.8355,0.36988,0.03855,0.45839,0.94446,0.00161588,0.00161588,0.00161588
