epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1434.05,0.79932,0.29189,0.10344,0.54874,0.98369,0.96152,0.85318,0.91137,0.74638,0.98423,0.91325,0.95066,0.92432,0.76909,0.32419,0.06392,0.43993,0.92137,0.0014951,0.0014951,0.0014951
53,1448.28,0.77574,0.26525,0.09184,0.5177,0.96933,0.94131,0.87317,0.91643,0.75552,0.98244,0.92195,0.95134,0.92671,0.76113,0.31356,0.04772,0.44304,0.93301,0.0014852,0.0014852,0.0014852
54,1462.32,0.77391,0.29202,0.08726,0.53644,0.97415,0.95137,0.85895,0.9201,0.782,0.96057,0.90244,0.95631,0.92137,0.64459,0.31957,0.07191,0.42753,0.89256,0.0014753,0.0014753,0.0014753
55,1476.62,0.78351,0.30264,0.08837,0.53549,0.97555,0.95623,0.8526,0.90998,0.75666,0.95872,0.90637,0.94867,0.92187,0.75533,0.31694,0.04858,0.42723,0.92872,0.0014654,0.0014654,0.0014654
56,1490.89,0.78967,0.2898,0.08856,0.52805,0.98006,0.96112,0.8442,0.91624,0.76768,0.98213,0.88293,0.94836,0.92306,0.68203,0.33199,0.04871,0.42532,0.90444,0.0014555,0.0014555,0.0014555
57,1505.05,0.7789,0.28348,0.08763,0.52222,0.97091,0.99427,0.84574,0.91735,0.75264,0.95738,0.9122,0.95683,0.92976,0.73257,0.29852,0.07557,0.44112,0.91223,0.0014456,0.0014456,0.0014456
58,1519.2,0.78763,0.2735,0.09205,0.52309,0.97641,0.96642,0.84236,0.91501,0.771,0.95017,0.93171,0.96151,0.93281,0.69836,0.30327,0.0443,0.43378,0.91532,0.0014357,0.0014357,0.0014357
59,1533.52,0.79323,0.29693,0.08928,0.53271,0.97506,0.93459,0.85854,0.91167,0.74991,0.98421,0.91202,0.95828,0.92952,0.76609,0.30237,0.05299,0.43886,0.92319,0.0014258,0.0014258,0.0014258
60,1547.84,0.79921,0.30191,0.09183,0.5213,0.98488,0.9616,0.85504,0.91714,0.76841,0.96888,0.91137,0.95768,0.92453,0.68397,0.32126,0.05231,0.42113,0.90077,0.0014159,0.0014159,0.0014159
61,1561.99,0.80014,0.32103,0.09071,0.55302,0.98975,0.91883,0.86341,0.91276,0.77622,0.95885,0.93659,0.96194,0.93286,0.67283,0.31321,0.04781,0.43293,0.91128,0.001406,0.001406,0.001406
62,1576.69,0.75726,0.2791,0.09514,0.49995,0.96002,0.96662,0.84764,0.91039,0.77743,0.96322,0.92195,0.94917,0.93029,0.69214,0.30184,0.04109,0.4374,0.9018,0.0013961,0.0013961,0.0013961
63,1590.11,0.81476,0.32982,0.09416,0.55972,0.98488,0.9563,0.85399,0.90992,0.783,0.97565,0.90244,0.9569,0.92951,0.6717,0.30744,0.05971,0.43511,0.89714,0.0013862,0.0013862,0.0013862
64,1604.1,0.78314,0.27293,0.08401,0.51661,0.97555,0.96773,0.86341,0.91038,0.76969,1,0.9039,0.95858,0.93036,0.69633,0.30448,0.05347,0.42305,0.9058,0.0013763,0.0013763,0.0013763
65,1617.81,0.77857,0.27902,0.08437,0.52594,0.97455,0.97785,0.8614,0.91906,0.76068,0.97914,0.93171,0.95958,0.92675,0.74324,0.30965,0.05189,0.42615,0.91234,0.0013664,0.0013664,0.0013664
66,1631.97,0.77421,0.26106,0.09171,0.50752,0.96817,0.97921,0.85854,0.91934,0.77273,0.96459,0.93171,0.9505,0.92776,0.7009,0.32205,0.0565,0.42832,0.91022,0.0013565,0.0013565,0.0013565
67,1646.71,0.7816,0.3005,0.08754,0.5373,0.98115,0.97938,0.85366,0.92267,0.77591,0.97417,0.91985,0.95152,0.92469,0.65551,0.32088,0.04728,0.42068,0.91232,0.0013466,0.0013466,0.0013466
68,1661.37,0.79165,0.27903,0.08835,0.52649,0.97889,0.96864,0.85854,0.92169,0.77309,0.98869,0.92195,0.95911,0.93055,0.73487,0.32903,0.06014,0.43865,0.91598,0.0013367,0.0013367,0.0013367
69,1675.69,0.76716,0.26695,0.08433,0.50983,0.95923,0.96694,0.86829,0.92019,0.76567,0.96907,0.91716,0.9605,0.92939,0.71508,0.29762,0.05351,0.42531,0.89656,0.0013268,0.0013268,0.0013268
70,1690.46,0.76075,0.26363,0.0872,0.51609,0.96456,0.95633,0.85464,0.91754,0.78169,1,0.90824,0.96106,0.92751,0.66225,0.31279,0.04479,0.41714,0.89353,0.0013169,0.0013169,0.0013169
71,1704.97,0.78936,0.29521,0.08799,0.52854,0.97501,0.98547,0.85366,0.92032,0.78284,0.96355,0.90267,0.95723,0.92891,0.65901,0.29078,0.05068,0.40843,0.8998,0.001307,0.001307,0.001307
72,1719.45,0.77018,0.27816,0.08142,0.52075,0.96546,0.97233,0.85693,0.92266,0.76888,0.97915,0.91637,0.96005,0.93241,0.7025,0.28402,0.06119,0.41316,0.90881,0.0012971,0.0012971,0.0012971
