epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,326.717,0.92098,0.83528,0.47275,0.56091,0.97453,0.96233,0.91277,0.94804,0.60503,0.96233,0.91277,0.94804,0.88399,1.21228,0.95909,0.31471,0.73373,1.13319,0.0006536,0.0006536,0.0006536
70,330.867,0.95005,0.97717,0.51047,0.61443,1.02108,0.83231,0.92857,0.89481,0.59258,0.94213,0.89286,0.9609,0.88127,1.25841,0.94487,0.31286,0.74115,1.13822,0.0006338,0.0006338,0.0006338
71,334.866,0.85404,0.73929,0.46911,0.53164,0.96342,0.83532,0.92857,0.89255,0.58857,0.86775,0.96429,0.96203,0.88867,1.28942,0.94663,0.3125,0.73221,1.15092,0.000614,0.000614,0.000614
72,339.049,0.92012,0.82965,0.4773,0.57968,1.00983,0.83723,0.92857,0.88663,0.56325,0.90314,1,0.98922,0.86841,1.3406,0.95748,0.30794,0.73296,1.17443,0.0005942,0.0005942,0.0005942
73,342.895,0.89828,0.72813,0.53338,0.56165,0.98554,0.84747,0.92857,0.88663,0.54131,0.91845,1,0.98922,0.87053,1.378,0.98438,0.30504,0.74488,1.19454,0.0005744,0.0005744,0.0005744
74,347.448,0.9876,0.93435,0.53293,0.59009,1.04751,0.81725,0.92857,0.8826,0.54453,0.88158,1,0.98563,0.88522,1.39813,0.99949,0.30338,0.77071,1.20819,0.0005546,0.0005546,0.0005546
75,350.811,0.95214,0.91681,0.50811,0.58042,0.98995,0.89377,0.90165,0.89066,0.58002,0.96428,0.96416,0.99017,0.88157,1.35274,0.99709,0.30067,0.75416,1.19517,0.0005348,0.0005348,0.0005348
76,354.768,0.92928,0.76603,0.50327,0.533,0.994,0.884,0.92857,0.89464,0.61335,0.952,1,0.99259,0.8907,1.23448,0.96859,0.30128,0.70157,1.14471,0.000515,0.000515,0.000515
77,359.249,0.87442,0.84772,0.49796,0.53543,0.95109,0.88898,0.92857,0.89317,0.65098,0.95784,1,0.99155,0.90115,1.11814,0.96497,0.30347,0.66595,1.11111,0.0004952,0.0004952,0.0004952
78,364.04,0.86612,0.89864,0.4697,0.58333,0.99671,0.92629,0.96429,0.94461,0.67317,0.96095,1,0.99155,0.89692,1.05141,0.96818,0.30776,0.63406,1.0773,0.0004754,0.0004754,0.0004754
